State,Survey Year,Age,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
Arizona,2017,18+,581.0,741.0,450.0,119.0,2872.0,1312.0,966.0,40.0,187.0,20.0,37.0,228.0,142.0,33.0,308.0,405.0,11.09,14.14,8.59,2.27,54.83,25.04,18.45,1.43,3.58,0.38,0.71,4.36,2.71,0.64,5.88,7.73
Arizona,2017,18-25,159.0,222.0,143.0,44.0,393.0,250.0,164.0,27.0,44.0,6.0,10.0,56.0,53.0,7.0,84.0,119.0,21.28,29.75,19.09,5.85,52.61,33.39,21.92,6.83,5.89,0.77,1.3,7.44,7.07,0.93,11.31,15.98
Arizona,2017,26+,422.0,518.0,307.0,75.0,2478.0,1062.0,803.0,13.0,143.0,14.0,27.0,173.0,89.0,26.0,223.0,285.0,9.39,11.55,6.85,1.67,55.2,23.66,17.88,0.53,3.19,0.32,0.61,3.85,1.98,0.59,4.97,6.36
Arizona,2018,12+,736.0,987.0,646.0,116.0,2953.0,1360.0,1006.0,77.0,183.0,15.0,75.0,241.0,163.0,38.0,316.0,417.0,12.46,16.71,10.93,1.97,49.96,23.01,17.03,2.38,3.09,0.25,1.27,4.08,2.76,0.64,5.34,7.05
Arizona,2018,12-17,41.0,67.0,35.0,3.0,47.0,26.0,12.0,25.0,12.0,0.0,1.0,17.0,15.0,2.0,10.0,23.0,7.42,11.97,6.28,0.55,8.48,4.74,2.22,5.11,2.12,0.05,0.2,3.02,2.69,0.44,1.83,4.08
Arizona,2018,18+,695.0,921.0,611.0,113.0,2905.0,1333.0,994.0,52.0,171.0,15.0,74.0,224.0,148.0,35.0,305.0,394.0,12.98,17.2,11.41,2.12,54.27,24.91,18.57,1.88,3.19,0.27,1.38,4.19,2.76,0.66,5.7,7.36
Arizona,2018,18-25,167.0,244.0,159.0,42.0,373.0,238.0,153.0,31.0,39.0,5.0,14.0,50.0,54.0,7.0,74.0,108.0,22.2,32.34,21.07,5.51,49.43,31.62,20.34,7.78,5.24,0.63,1.87,6.64,7.15,0.87,9.87,14.33
Arizona,2018,26+,528.0,677.0,452.0,72.0,2533.0,1095.0,841.0,21.0,131.0,10.0,60.0,174.0,94.0,29.0,231.0,286.0,11.47,14.72,9.83,1.56,55.07,23.81,18.28,0.87,2.86,0.22,1.3,3.79,2.04,0.62,5.02,6.22
Arizona,2019,12+,765.0,968.0,665.0,110.0,2959.0,1290.0,945.0,80.0,207.0,22.0,105.0,229.0,191.0,33.0,289.0,417.0,12.67,16.01,11.0,1.82,48.97,21.35,15.63,2.43,3.43,0.36,1.74,3.8,3.16,0.55,4.79,6.9
Arizona,2019,12-17,43.0,71.0,34.0,3.0,45.0,24.0,10.0,30.0,14.0,0.0,1.0,14.0,20.0,2.0,10.0,27.0,7.71,12.7,6.04,0.48,7.91,4.25,1.81,6.0,2.47,0.01,0.17,2.49,3.56,0.38,1.71,4.83
