State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
NORTHEAST REGION,18-25,2016,,,,,,,,,,,,,,,,,25.93,37.45,23.64,6.67,63.92,44.03,24.93,8.85,7.73,0.81,,7.19,7.63,0.98,11.69,16.73
NORTHEAST REGION,18+,2014,,,,,,,,,,,,,,,,,10.42,13.87,8.67,2.06,62.1,25.43,21.1,,,,,,,,,
NORTHEAST REGION,18+,2018,,,,,,,,,,,,,,,,,12.2,16.24,10.56,2.5,59.77,27.92,17.47,1.7,3.36,0.5,0.38,3.52,2.89,0.61,5.85,7.86
NORTHEAST REGION,18+,2019,,,,,,,,,,,,,,,,,13.25,18.1,11.79,2.38,57.98,27,16.63,1.87,3.23,0.39,0.43,3.21,2.99,0.5,5.61,7.66
NORTHEAST REGION,26+,2017,,,,,,,,,,,,,,,,,9.45,11.77,7.77,1.85,60.3,25.92,18.34,0.53,2.86,0.44,0.28,3.44,2,0.61,5.17,6.64
MIDWEST REGION,26+,2013,2934,3716,2216,496,25581,10767,10780,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,26+,2016,,,,,,,,,,,,,,,,,9.11,11.45,7.46,1.73,59.67,25.61,19.05,0.44,2.9,0.45,,3.68,2.06,0.65,5.49,6.91
MIDWEST REGION,12+,2014,5150,6986,4228,769,31066,14233,13433,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2018,6286,8561,5364,1100,30891,15172,11094,727,1907,188,354,2238,1624,374,3176,4263,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2019,6797,9324,5884,1037,30954,15137,10858,766,1896,176,412,2070,1710,340,3173,4322,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2017,,,,,,,,,,,,,,,,,11.87,15.36,10.12,2.51,60.71,28.36,18.9,1.65,3.53,0.48,0.3,3.88,2.78,0.64,5.97,7.98
MIDWEST REGION,18+,2013,4477,6027,3600,756,30291,13949,13323,,,,,,,,,,,,,,,,,,,,,,,,,
NORTHEAST REGION,18+,2016,,,,,,,,,,,,,,,,,11.45,15.07,9.72,2.42,60.27,28.18,19.87,1.54,3.57,0.5,,4.17,2.83,0.69,6.36,8.28
MIDWEST REGION,17-Dec,2014,452,670,357,26,609,332,332,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2018,419,666,343,27,526,285,178,270,129,3,11,152,151,22,93,204,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2019,430,658,351,23,508,264,155,266,125,1,12,136,173,22,91,224,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2017,5868,7896,4984,1005,30919,15030,11726,692,1864,197,287,2421,1491,382,3312,4342,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2013,,,,,,,,,,,,,,,,,8.84,12.01,7.09,1.39,55.23,25.54,24.45,,,,,,,,,
MIDWEST REGION,12+,2016,5541,7405,4697,854,30827,15018,12084,648,1795,185,,2522,1483,403,3346,4388,,,,,,,,,,,,,,,,
MIDWEST REGION,18-25,2014,1592,2383,1426,283,4681,3143,2436,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,18-25,2018,1733,2530,1591,416,4366,2893,1650,338,501,42,76,473,542,66,800,1117,,,,,,,,,,,,,,,,
MIDWEST REGION,18-25,2019,1755,2554,1619,365,4272,2719,1467,345,445,29,64,394,548,48,751,1072,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2017,416,677,340,27,536,297,215,264,128,3,8,180,152,26,106,217,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2013,,,,,,,,,,,,,,,,,8.86,13.1,6.95,0.47,12.45,6.89,7.11,,,,,,,,,
MIDWEST REGION,17-Dec,2016,442,676,357,29,524,313,251,251,146,4,,214,171,29,122,254,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2014,3106,3932,2445,461,25776,10758,10665,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2018,4135,5364,3430,657,25999,11994,9266,119,1276,143,268,1614,931,285,2283,2942,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2019,4612,6112,3915,650,26175,12154,9236,155,1327,145,336,1539,989,271,2332,3025,,,,,,,,,,,,,,,,
MIDWEST REGION,18-25,2017,1693,2469,1529,383,4463,3046,1838,327,529,48,70,546,486,73,842,1126,,,,,,,,,,,,,,,,
