State,Age,Year,Past Month Illicit Drug Use (total),Past Year Marijuana Use (total),Past Month Marijuana Use (total),Past Year Cocaine Use (total),Past Month Alcohol Use (total),Past Month Binge Alcohol Use (total),Past Month Cigarette Use (total),First Use of Marijuana (total),Past Month Illicit Drug Use Other Than Marijuana (total),Past Year Heroin Use (total),Past Year Methamphetamine Use (total),Past Year Misuse of Pain Relievers (total),Illicit Drug Use Disorder (total),Pain Reliever Use Disorder (total),Alcohol Use Disorder (total),Substance Use Disorder (total),Past Month Illicit Drug Use %,Past Year Marijuana Use %,Past Month Marijuana Use %,Past Year Cocaine Use %,Past Month Alcohol Use %,Past Month Binge Alcohol Use %,Past Month Cigarette Use %,First Use of Marijuana %,Past Month Illicit Drug Use Other Than Marijuana %,Past Year Heroin Use %,Past Year Methamphetamine Use %,Past Year Misuse of Pain Relievers %,Illicit Drug Use Disorder %,Pain Reliever Use Disorder %,Alcohol Use Disorder %,Substance Use Disorder %
MIDWEST REGION,18-25,2013,,,,,,,,,,,,,,,,,20.9,31.29,18.74,3.51,63.79,43.09,34.44,,,,,,,,,
MIDWEST REGION,18-25,2016,1602,2342,1425,326,4553,3127,2045,311,513,48,,604,481,77,862,1148,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2014,4698,6316,3871,743,30457,13901,13101,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2018,5868,7895,5021,1073,30365,14887,10917,457,1778,186,343,2087,1473,352,3083,4059,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2019,6367,8666,5534,1015,30447,14873,10703,501,1771,174,400,1934,1537,319,3082,4097,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2017,3759,4749,3114,595,25920,11687,9673,100,1206,146,209,1695,853,282,2364,2999,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2013,,,,,,,,,,,,,,,,,6.78,8.58,5.12,1.15,59.11,24.88,24.91,,,,,,,,,
MIDWEST REGION,26+,2016,3497,4386,2916,499,25749,11578,9789,86,1136,132,,1704,831,296,2363,2987,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2014,,,,,,,,,,,,,,,,,9.14,12.4,7.5,1.37,55.14,25.26,23.84,,,,,,,,,
MIDWEST REGION,12+,2018,,,,,,,,,,,,,,,,,11.01,14.99,9.39,1.93,54.1,26.57,19.43,2.31,3.34,0.33,0.62,3.92,2.84,0.65,5.56,7.47
MIDWEST REGION,12+,2019,,,,,,,,,,,,,,,,,11.87,16.28,10.28,1.81,54.07,26.44,18.96,2.48,3.31,0.31,0.72,3.62,2.99,0.59,5.54,7.55
MIDWEST REGION,18+,2017,5452,7219,4643,978,30383,14733,11511,428,1735,194,279,2241,1339,355,3206,4125,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2013,,,,,,,,,,,,,,,,,8.83,11.89,7.1,1.49,59.79,27.53,26.29,,,,,,,,,
MIDWEST REGION,18+,2016,5099,6729,4340,825,30302,14704,11834,397,1649,180,,2308,1312,373,3224,4134,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2014,,,,,,,,,,,,,,,,,8.4,12.45,6.64,0.48,11.31,6.16,6.16,,,,,,,,,
MIDWEST REGION,17-Dec,2018,,,,,,,,,,,,,,,,,7.9,12.58,6.47,0.5,9.94,5.38,3.35,5.61,2.44,0.05,0.21,2.87,2.85,0.42,1.76,3.85
MIDWEST REGION,17-Dec,2019,,,,,,,,,,,,,,,,,8.15,12.47,6.64,0.43,9.62,5.01,2.94,5.55,2.36,0.03,0.23,2.58,3.28,0.41,1.72,4.25
MIDWEST REGION,12+,2017,,,,,,,,,,,,,,,,,10.32,13.88,8.76,1.77,54.36,26.42,20.61,2.21,3.28,0.35,0.51,4.26,2.62,0.67,5.82,7.63
SOUTH REGION,12+,2013,7755,10328,5946,1511,46833,20792,22140,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,12+,2016,,,,,,,,,,,,,,,,,9.77,13.06,8.28,1.51,54.36,26.48,21.31,2.04,3.17,0.33,,4.45,2.61,0.71,5.9,7.74
MIDWEST REGION,18-25,2014,,,,,,,,,,,,,,,,,21.47,32.13,19.23,3.81,63.11,42.38,32.84,,,,,,,,,
MIDWEST REGION,18-25,2018,,,,,,,,,,,,,,,,,23.8,34.75,21.85,5.72,59.96,39.74,22.67,8.94,6.89,0.58,1.04,6.49,7.45,0.91,10.99,15.34
MIDWEST REGION,18-25,2019,,,,,,,,,,,,,,,,,24.37,35.45,22.47,5.07,59.29,37.74,20.37,9.24,6.17,0.4,0.89,5.47,7.61,0.66,10.42,14.88
MIDWEST REGION,17-Dec,2017,,,,,,,,,,,,,,,,,7.82,12.74,6.4,0.51,10.09,5.59,4.04,5.51,2.41,0.05,0.16,3.38,2.86,0.5,1.99,4.09
SOUTH REGION,17-Dec,2013,794,1154,589,58,1087,601,573,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,17-Dec,2016,,,,,,,,,,,,,,,,,8.28,12.67,6.69,0.55,9.82,5.87,4.7,5.25,2.73,0.08,,4,3.2,0.55,2.29,4.75
MIDWEST REGION,26+,2014,,,,,,,,,,,,,,,,,7.13,9.03,5.61,1.06,59.21,24.71,24.5,,,,,,,,,
MIDWEST REGION,26+,2018,,,,,,,,,,,,,,,,,9.29,12.05,7.7,1.48,58.39,26.94,20.81,0.52,2.87,0.32,0.6,3.62,2.09,0.64,5.13,6.61
MIDWEST REGION,26+,2019,,,,,,,,,,,,,,,,,10.3,13.65,8.74,1.45,58.47,27.15,20.63,0.69,2.96,0.32,0.75,3.44,2.21,0.6,5.21,6.76
MIDWEST REGION,18-25,2017,,,,,,,,,,,,,,,,,23.06,33.63,20.83,5.22,60.78,41.48,25.03,8.74,7.21,0.65,0.95,7.44,6.62,1,11.47,15.33
SOUTH REGION,18-25,2013,2438,3643,2100,498,7277,4529,4059,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,18-25,2016,,,,,,,,,,,,,,,,,21.68,31.69,19.28,4.4,61.6,42.3,27.66,8.16,6.94,0.65,,8.17,6.51,1.05,11.66,15.53
MIDWEST REGION,18+,2014,,,,,,,,,,,,,,,,,9.22,12.39,7.6,1.46,59.77,27.28,25.71,,,,,,,,,
MIDWEST REGION,18+,2018,,,,,,,,,,,,,,,,,11.32,15.24,9.69,2.07,58.61,28.73,21.07,1.71,3.43,0.36,0.66,4.03,2.84,0.68,5.95,7.83
MIDWEST REGION,18+,2019,,,,,,,,,,,,,,,,,12.25,16.67,10.65,1.95,58.58,28.61,20.59,1.92,3.41,0.34,0.77,3.72,2.96,0.61,5.93,7.88
MIDWEST REGION,26+,2017,,,,,,,,,,,,,,,,,8.5,10.74,7.04,1.34,58.62,26.43,21.88,0.46,2.73,0.33,0.47,3.83,1.93,0.64,5.35,6.78
SOUTH REGION,26+,2013,4522,5531,3257,955,38470,15662,17508,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,26+,2016,,,,,,,,,,,,,,,,,7.95,9.97,6.63,1.14,58.56,26.33,22.26,0.38,2.58,0.3,,3.88,1.89,0.67,5.37,6.79
SOUTH REGION,12+,2014,8422,11034,6622,1426,47855,21107,21958,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2018,9896,13323,8205,1821,49131,23674,19541,1088,3254,280,620,4041,2779,646,4955,6916,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2019,10766,14557,9235,1718,50016,24105,19185,1196,3183,243,653,3819,2728,576,4945,6870,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2017,,,,,,,,,,,,,,,,,10.57,14,9,1.9,58.92,28.57,22.32,1.62,3.37,0.38,0.54,4.35,2.6,0.69,6.22,8
SOUTH REGION,18+,2013,6961,9174,5357,1453,45747,20191,21567,,,,,,,,,,,,,,,,,,,,,,,,,
MIDWEST REGION,18+,2016,,,,,,,,,,,,,,,,,9.93,13.1,8.45,1.61,59,28.63,23.04,1.47,3.21,0.35,,4.49,2.55,0.73,6.28,8.05
SOUTH REGION,17-Dec,2014,800,1128,593,49,1020,535,489,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2018,696,1077,567,41,880,455,310,437,229,5,18,298,261,37,144,350,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2019,712,1080,592,34,859,441,270,456,229,2,15,264,275,36,139,357,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2017,9325,12478,7617,1782,48026,23240,20158,1041,3234,332,569,4198,2672,659,5080,6900,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2013,,,,,,,,,,,,,,,,,8,10.65,6.13,1.56,48.31,21.45,22.84,,,,,,,,,
SOUTH REGION,12+,2016,8936,11860,7099,1612,47824,23425,20716,1037,3323,282,,4460,2665,732,5286,7053,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2014,2531,3732,2218,486,7320,4460,3901,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2018,2673,3848,2411,623,6550,4081,2773,484,786,66,116,831,891,117,1115,1730,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2019,2654,3842,2415,560,6508,4005,2447,511,703,42,96,690,851,85,1077,1655,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2017,698,1051,553,40,865,440,329,416,242,5,15,325,275,49,159,365,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2013,,,,,,,,,,,,,,,,,8.51,12.37,6.31,0.62,11.65,6.44,6.14,,,,,,,,,
SOUTH REGION,17-Dec,2016,744,1070,583,43,828,459,369,426,274,7,,375,292,56,198,400,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2014,5091,6175,3811,890,39515,16112,17567,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2018,6526,8398,5227,1157,41701,19138,16457,167,2240,209,485,2911,1627,493,3696,4836,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2019,7400,9634,6228,1124,42649,19659,16469,229,2252,199,542,2865,1602,455,3729,4858,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2017,2656,3877,2361,639,6768,4352,3039,467,848,86,123,917,895,127,1188,1788,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2013,,,,,,,,,,,,,,,,,19.04,28.44,16.4,3.89,56.82,35.36,31.69,,,,,,,,,
SOUTH REGION,18-25,2016,2612,3824,2287,612,7035,4617,3346,479,896,74,,981,878,135,1271,1830,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2014,7621,9906,6030,1376,46835,20572,21468,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2018,9199,12246,7638,1780,48251,23219,19230,651,3025,275,602,3742,2518,610,4811,6566,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2019,10054,13476,8643,1684,49157,23664,18916,740,2954,241,638,3556,2453,539,4806,6513,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2017,5971,7550,4702,1104,40392,18448,16790,158,2144,241,430,2956,1502,483,3732,4747,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2013,,,,,,,,,,,,,,,,,6.05,7.39,4.35,1.28,51.42,20.94,23.41,,,,,,,,,
SOUTH REGION,26+,2016,5580,6967,4229,957,39960,18349,17001,131,2153,201,,3104,1494,542,3817,4823,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2014,,,,,,,,,,,,,,,,,8.58,11.24,6.74,1.45,48.74,21.5,22.37,,,,,,,,,
SOUTH REGION,12+,2018,,,,,,,,,,,,,,,,,9.6,12.92,7.96,1.77,47.65,22.96,18.95,1.76,3.16,0.27,0.6,3.92,2.7,0.63,4.81,6.71
SOUTH REGION,12+,2019,,,,,,,,,,,,,,,,,10.34,13.98,8.87,1.65,48.03,23.15,18.43,1.92,3.06,0.23,0.63,3.67,2.62,0.55,4.75,6.6
SOUTH REGION,18+,2017,8627,11427,7064,1742,47160,22800,19829,624,2993,327,554,3873,2397,610,4921,6535,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2013,,,,,,,,,,,,,,,,,7.95,10.47,6.11,1.66,52.21,23.04,24.62,,,,,,,,,
SOUTH REGION,18+,2016,8192,10791,6516,1569,46996,22966,20347,610,3048,275,,4086,2373,677,5088,6653,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2014,,,,,,,,,,,,,,,,,8.53,12.02,6.31,0.53,10.87,5.7,5.22,,,,,,,,,
SOUTH REGION,17-Dec,2018,,,,,,,,,,,,,,,,,7.24,11.2,5.89,0.42,9.15,4.73,3.22,4.93,2.38,0.05,0.19,3.1,2.72,0.38,1.5,3.64
SOUTH REGION,17-Dec,2019,,,,,,,,,,,,,,,,,7.38,11.19,6.13,0.36,8.89,4.57,2.79,5.08,2.37,0.02,0.16,2.73,2.85,0.38,1.44,3.7
SOUTH REGION,12+,2017,,,,,,,,,,,,,,,,,9.15,12.25,7.47,1.75,47.13,22.81,19.78,1.7,3.17,0.33,0.56,4.12,2.62,0.65,4.99,6.77
WEST REGION,12+,2013,6977,8887,5702,1222,31087,13267,11239,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,12+,2016,,,,,,,,,,,,,,,,,8.87,11.78,7.05,1.6,47.48,23.26,20.57,1.7,3.3,0.28,,4.43,2.65,0.73,5.25,7
SOUTH REGION,18-25,2014,,,,,,,,,,,,,,,,,19.62,28.93,17.2,3.77,56.75,34.58,30.24,,,,,,,,,
SOUTH REGION,18-25,2018,,,,,,,,,,,,,,,,,20.94,30.14,18.89,4.88,51.31,31.97,21.72,6.72,6.15,0.52,0.91,6.51,6.98,0.92,8.73,13.55
SOUTH REGION,18-25,2019,,,,,,,,,,,,,,,,,20.84,30.17,18.97,4.39,51.11,31.45,19.21,6.99,5.52,0.33,0.75,5.42,6.68,0.67,8.45,12.99
SOUTH REGION,17-Dec,2017,,,,,,,,,,,,,,,,,7.29,10.99,5.78,0.42,9.05,4.6,3.44,4.75,2.53,0.05,0.16,3.4,2.88,0.51,1.67,3.82
WEST REGION,17-Dec,2013,621,890,493,47,701,392,312,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,17-Dec,2016,,,,,,,,,,,,,,,,,7.82,11.25,6.13,0.45,8.71,4.83,3.88,4.91,2.88,0.07,,3.94,3.07,0.59,2.08,4.21
SOUTH REGION,26+,2014,,,,,,,,,,,,,,,,,6.71,8.14,5.02,1.17,52.06,21.23,23.15,,,,,,,,,
SOUTH REGION,26+,2018,,,,,,,,,,,,,,,,,8.08,10.4,6.47,1.43,51.65,23.71,20.39,0.38,2.77,0.26,0.6,3.61,2.01,0.61,4.58,5.99
SOUTH REGION,26+,2019,,,,,,,,,,,,,,,,,9.05,11.79,7.62,1.38,52.18,24.05,20.15,0.52,2.75,0.24,0.66,3.51,1.96,0.56,4.56,5.94
SOUTH REGION,18-25,2017,,,,,,,,,,,,,,,,,20.75,30.28,18.44,4.99,52.87,34,23.74,6.59,6.63,0.67,0.96,7.16,6.99,1,9.28,13.97
WEST REGION,18-25,2013,2005,2818,1787,490,4823,3069,2348,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,18-25,2016,,,,,,,,,,,,,,,,,20.26,29.66,17.74,4.75,54.56,35.8,25.95,6.78,6.95,0.58,,7.61,6.81,1.04,9.86,14.19
SOUTH REGION,18+,2014,,,,,,,,,,,,,,,,,8.58,11.16,6.79,1.55,52.74,23.17,24.18,,,,,,,,,
SOUTH REGION,18+,2018,,,,,,,,,,,,,,,,,9.84,13.1,8.17,1.9,51.61,24.83,20.57,1.24,3.24,0.29,0.64,4,2.69,0.65,5.15,7.02
SOUTH REGION,18+,2019,,,,,,,,,,,,,,,,,10.64,14.27,9.15,1.78,52.03,25.05,20.02,1.4,3.13,0.26,0.68,3.76,2.6,0.57,5.09,6.89
SOUTH REGION,26+,2017,,,,,,,,,,,,,,,,,7.51,9.49,5.91,1.39,50.79,23.19,21.11,0.35,2.7,0.3,0.54,3.72,1.89,0.61,4.69,5.97
WEST REGION,26+,2013,4351,5179,3422,684,25563,9806,8579,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,26+,2016,,,,,,,,,,,,,,,,,7.13,8.9,5.4,1.22,51.03,23.43,21.71,0.29,2.75,0.26,,3.96,1.91,0.69,4.87,6.16
WEST REGION,12+,2014,7309,9424,6072,1253,31894,13855,10761,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,12+,2018,9322,12671,8349,1701,33523,15517,9409,927,2282,160,604,2596,2039,383,3894,5206,,,,,,,,,,,,,,,,
WEST REGION,12+,2019,10154,13526,9063,1687,33023,15183,9006,943,2516,185,673,2467,2339,381,4018,5634,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2017,,,,,,,,,,,,,,,,,9.34,12.38,7.65,1.89,51.07,24.69,21.48,1.2,3.24,0.35,0.6,4.19,2.6,0.66,5.33,7.08
WEST REGION,18+,2013,6355,7997,5209,1174,30386,12875,10927,,,,,,,,,,,,,,,,,,,,,,,,,
SOUTH REGION,18+,2016,,,,,,,,,,,,,,,,,8.98,11.83,7.14,1.72,51.53,25.18,22.31,1.17,3.34,0.3,,4.48,2.6,0.74,5.58,7.29
WEST REGION,17-Dec,2014,629,923,526,49,696,376,271,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2018,534,834,451,34,525,280,137,315,151,3,10,189,192,27,118,255,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2019,602,929,512,32,534,284,112,338,153,1,9,155,223,22,111,285,,,,,,,,,,,,,,,,
WEST REGION,12+,2017,8790,11639,7675,1596,32657,15034,9720,817,2408,174,520,2871,1964,375,3697,5008,,,,,,,,,,,,,,,,
WEST REGION,12+,2013,,,,,,,,,,,,,,,,,11.45,14.59,9.36,2,51.02,21.77,18.45,,,,,,,,,
WEST REGION,12+,2016,7994,10447,6768,1404,32098,15003,10018,774,2424,201,,3071,2053,439,3892,5230,,,,,,,,,,,,,,,,
WEST REGION,18-25,2014,2006,2831,1788,486,4853,3087,2200,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,18-25,2018,2236,3202,2090,602,4474,2818,1457,394,536,37,104,507,657,62,881,1295,,,,,,,,,,,,,,,,
WEST REGION,18-25,2019,2312,3220,2157,584,4333,2686,1275,367,545,24,84,449,692,53,862,1305,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2017,520,809,442,42,541,287,157,291,152,3,13,212,222,33,126,289,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2013,,,,,,,,,,,,,,,,,10.42,14.93,8.26,0.79,11.75,6.58,5.23,,,,,,,,,
WEST REGION,17-Dec,2016,543,804,446,48,538,302,186,295,163,3,,221,238,34,141,321,,,,,,,,,,,,,,,,
WEST REGION,26+,2014,4673,5671,3757,718,26345,10392,8291,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,26+,2018,6552,8635,5808,1065,28524,12420,7815,217,1595,120,489,1899,1190,293,2895,3655,,,,,,,,,,,,,,,,
WEST REGION,26+,2019,7241,9377,6393,1071,28156,12214,7618,239,1818,159,580,1862,1424,305,3045,4044,,,,,,,,,,,,,,,,
WEST REGION,18-25,2017,2174,3047,1999,599,4501,2923,1662,368,592,41,99,595,627,62,871,1257,,,,,,,,,,,,,,,,
WEST REGION,18-25,2013,,,,,,,,,,,,,,,,,24.02,33.77,21.42,5.88,57.8,36.78,28.14,,,,,,,,,
WEST REGION,18-25,2016,2113,2878,1902,554,4582,3020,1817,340,663,50,,694,656,88,908,1286,,,,,,,,,,,,,,,,
WEST REGION,18+,2014,6679,8501,5546,1204,31198,13479,10490,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,18+,2018,8788,11837,7898,1667,32998,15238,9272,612,2131,157,593,2406,1847,356,3776,4950,,,,,,,,,,,,,,,,
WEST REGION,18+,2019,9553,12597,8550,1655,32489,14899,8893,605,2362,184,664,2311,2116,359,3907,5349,,,,,,,,,,,,,,,,
WEST REGION,26+,2017,6097,7783,5234,955,27615,11824,7902,157,1664,130,409,2064,1115,279,2700,3462,,,,,,,,,,,,,,,,
WEST REGION,26+,2013,,,,,,,,,,,,,,,,,9.33,11.11,7.34,1.47,54.83,21.03,18.41,,,,,,,,,
WEST REGION,26+,2016,5338,6764,4419,802,26978,11681,8016,139,1599,148,,2156,1158,318,2843,3624,,,,,,,,,,,,,,,,
WEST REGION,12+,2014,,,,,,,,,,,,,,,,,11.84,15.27,9.84,2.03,51.67,22.44,17.43,,,,,,,,,
WEST REGION,12+,2018,,,,,,,,,,,,,,,,,14.39,19.57,12.89,2.63,51.76,23.96,14.53,2.71,3.52,0.25,0.93,4.01,3.15,0.59,6.01,8.04
WEST REGION,12+,2019,,,,,,,,,,,,,,,,,15.54,20.7,13.87,2.58,50.55,23.24,13.79,2.78,3.85,0.28,1.03,3.78,3.58,0.58,6.15,8.62
WEST REGION,18+,2017,8270,10830,7233,1554,32116,14746,9563,525,2256,171,507,2659,1742,342,3571,4720,,,,,,,,,,,,,,,,
WEST REGION,18+,2013,,,,,,,,,,,,,,,,,11.56,14.55,9.48,2.14,55.28,23.42,19.88,,,,,,,,,
WEST REGION,18+,2016,7451,9642,6321,1356,31560,14701,9833,479,2261,197,,2850,1814,406,3751,4909,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2014,,,,,,,,,,,,,,,,,10.59,15.53,8.85,0.82,11.71,6.32,4.56,,,,,,,,,
WEST REGION,17-Dec,2018,,,,,,,,,,,,,,,,,8.93,13.96,7.55,0.56,8.78,4.68,2.3,6.17,2.53,0.05,0.17,3.17,3.21,0.46,1.97,4.27
WEST REGION,17-Dec,2019,,,,,,,,,,,,,,,,,10.03,15.5,8.54,0.54,8.9,4.74,1.87,6.65,2.56,0.02,0.14,2.59,3.72,0.37,1.85,4.76
WEST REGION,12+,2017,,,,,,,,,,,,,,,,,13.73,18.17,11.98,2.49,50.99,23.47,15.18,2.33,3.76,0.27,0.81,4.48,3.07,0.59,5.77,7.82
ALABAMA,12+,2013,304,389,199,48,1752,860,1045,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,12+,2016,,,,,,,,,,,,,,,,,12.62,16.49,10.68,2.22,50.67,23.68,15.82,2.24,3.83,0.32,,4.85,3.24,0.69,6.14,8.26
WEST REGION,18-25,2014,,,,,,,,,,,,,,,,,23.9,33.72,21.3,5.78,57.82,36.78,26.21,,,,,,,,,
WEST REGION,18-25,2018,,,,,,,,,,,,,,,,,27.29,39.08,25.51,7.35,54.62,34.4,17.79,9.76,6.54,0.45,1.27,6.19,8.02,0.76,10.76,15.81
WEST REGION,18-25,2019,,,,,,,,,,,,,,,,,28.44,39.6,26.53,7.18,53.3,33.03,15.69,9.12,6.7,0.3,1.04,5.53,8.52,0.66,10.6,16.06
WEST REGION,17-Dec,2017,,,,,,,,,,,,,,,,,8.73,13.58,7.42,0.71,9.08,4.82,2.63,5.66,2.55,0.06,0.21,3.56,3.73,0.55,2.11,4.85
ALABAMA,17-Dec,2013,30,40,18,2,43,25,24,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,17-Dec,2016,,,,,,,,,,,,,,,,,9.14,13.55,7.52,0.81,9.06,5.09,3.13,5.75,2.74,0.05,,3.72,4.01,0.57,2.38,5.4
WEST REGION,26+,2014,,,,,,,,,,,,,,,,,9.86,11.97,7.93,1.52,55.59,21.93,17.5,,,,,,,,,
WEST REGION,26+,2018,,,,,,,,,,,,,,,,,12.95,17.07,11.48,2.11,56.38,24.55,15.45,0.83,3.15,0.24,0.97,3.75,2.35,0.58,5.72,7.22
WEST REGION,26+,2019,,,,,,,,,,,,,,,,,14.14,18.31,12.49,2.09,54.99,23.85,14.88,0.91,3.55,0.31,1.13,3.64,2.78,0.6,5.95,7.9
WEST REGION,18-25,2017,,,,,,,,,,,,,,,,,26.29,36.86,24.18,7.24,54.43,35.35,20.1,8.89,7.16,0.49,1.2,7.2,7.58,0.76,10.54,15.2
ALABAMA,18-25,2013,94,136,75,14,273,170,181,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,18-25,2016,,,,,,,,,,,,,,,,,25.25,34.39,22.73,6.61,54.76,36.08,21.72,8.18,7.92,0.59,,8.29,7.84,1.05,10.85,15.36
WEST REGION,18+,2014,,,,,,,,,,,,,,,,,11.97,15.24,9.94,2.16,55.92,24.16,18.8,,,,,,,,,
WEST REGION,18+,2018,,,,,,,,,,,,,,,,,14.95,20.14,13.44,2.84,56.13,25.92,15.77,2.08,3.63,0.27,1.01,4.09,3.14,0.6,6.42,8.42
WEST REGION,18+,2019,,,,,,,,,,,,,,,,,16.1,21.23,14.41,2.79,54.76,25.11,14.99,2.08,3.98,0.31,1.12,3.9,3.57,0.6,6.59,9.02
WEST REGION,26+,2017,,,,,,,,,,,,,,,,,12.24,15.62,10.51,1.92,55.43,23.73,15.86,0.57,3.34,0.26,0.82,4.14,2.24,0.56,5.42,6.95
ALABAMA,26+,2013,180,213,105,32,1435,665,840,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,26+,2016,,,,,,,,,,,,,,,,,10.89,13.79,9.01,1.64,55.01,23.82,16.35,0.53,3.26,0.3,,4.4,2.36,0.65,5.8,7.39
ALABAMA,12+,2014,325,404,225,50,1803,872,1045,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,12+,2018,439,514,339,69,1812,937,987,40,143,13,46,192,128,31,191,290,,,,,,,,,,,,,,,,
ALABAMA,12+,2019,434,605,356,73,1798,976,932,44,137,11,47,187,125,31,219,306,,,,,,,,,,,,,,,,
WEST REGION,18+,2017,,,,,,,,,,,,,,,,,14.24,18.64,12.45,2.67,55.29,25.39,16.46,1.73,3.88,0.29,0.87,4.58,3,0.59,6.15,8.12
ALABAMA,18+,2013,274,350,180,46,1709,835,1021,,,,,,,,,,,,,,,,,,,,,,,,,
WEST REGION,18+,2016,,,,,,,,,,,,,,,,,12.98,16.8,11.01,2.36,54.98,25.61,17.13,1.62,3.94,0.34,,4.97,3.16,0.71,6.53,8.55
ALABAMA,17-Dec,2014,30,38,19,2,40,23,22,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,17-Dec,2018,29,38,23,1,35,18,18,14,11,0,1,16,10,2,6,14,,,,,,,,,,,,,,,,
ALABAMA,17-Dec,2019,26,36,22,1,31,16,13,16,9,0,1,15,9,2,6,12,,,,,,,,,,,,,,,,
ALABAMA,12+,2017,353,429,259,66,1709,871,955,41,140,12,32,184,116,31,184,268,,,,,,,,,,,,,,,,
ALABAMA,12+,2013,,,,,,,,,,,,,,,,,7.57,9.69,4.95,1.19,43.63,21.43,26.03,,,,,,,,,
ALABAMA,12+,2016,289,386,213,49,1656,861,920,41,136,13,,209,121,38,169,258,,,,,,,,,,,,,,,,
ALABAMA,18-25,2014,98,145,81,17,275,178,184,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,18-25,2018,108,138,95,23,250,151,131,19,31,3,8,38,42,6,40,66,,,,,,,,,,,,,,,,
ALABAMA,18-25,2019,104,152,93,21,232,141,111,19,28,2,5,32,39,4,46,68,,,,,,,,,,,,,,,,
ALABAMA,17-Dec,2017,27,36,20,1,33,17,18,14,10,0,1,16,10,2,6,15,,,,,,,,,,,,,,,,
ALABAMA,17-Dec,2013,,,,,,,,,,,,,,,,,7.75,10.36,4.81,0.46,11.21,6.55,6.25,,,,,,,,,
ALABAMA,17-Dec,2016,26,38,20,1,31,17,18,15,8,0,,19,10,2,6,15,,,,,,,,,,,,,,,,
ALABAMA,26+,2014,197,221,126,31,1488,670,839,,,,,,,,,,,,,,,,,,,,,,,,,
ALABAMA,26+,2018,302,338,221,45,1528,768,838,7,101,11,36,138,76,24,145,211,,,,,,,,,,,,,,,,
